epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,10496.8,0.52059,1.15789,0.37678,0.96428,0.96205,0.92265,0.95364,0.87969,0.96085,0.91838,0.94615,0.83576,0.41877,1.1834,0.26291,0.91328,0.005314,0.005314,0.005314
73,10636.3,0.51742,1.12841,0.373,0.96106,0.96713,0.92096,0.95384,0.88012,0.96561,0.91866,0.94629,0.83689,0.41919,1.17431,0.25943,0.91174,0.005248,0.005248,0.005248
74,10776.3,0.50979,1.13594,0.36941,0.95897,0.9636,0.92739,0.95406,0.88147,0.96174,0.9233,0.94566,0.83884,0.41573,1.18195,0.25889,0.90967,0.005182,0.005182,0.005182
75,10918.7,0.5174,1.13833,0.37414,0.96122,0.9608,0.92799,0.95387,0.88187,0.95828,0.92134,0.94509,0.83883,0.41438,1.16991,0.25834,0.91078,0.005116,0.005116,0.005116
76,11058.8,0.51005,1.13833,0.3706,0.95398,0.96343,0.92551,0.95437,0.88223,0.96009,0.91926,0.94456,0.84059,0.41459,1.17524,0.26065,0.91276,0.00505,0.00505,0.00505
77,11198.6,0.50907,1.13539,0.37133,0.95743,0.95989,0.92451,0.9545,0.88348,0.95797,0.92052,0.94651,0.84148,0.41189,1.1772,0.25754,0.91147,0.004984,0.004984,0.004984
78,11338,0.50916,1.11967,0.37015,0.9556,0.96494,0.92421,0.95417,0.8842,0.96072,0.9195,0.94608,0.84098,0.41148,1.16873,0.25661,0.91152,0.004918,0.004918,0.004918
79,11477.7,0.50168,1.10917,0.3656,0.95335,0.9638,0.92495,0.95462,0.88399,0.95869,0.92286,0.94678,0.84005,0.41257,1.1775,0.25384,0.91322,0.004852,0.004852,0.004852
80,11616.9,0.50152,1.11962,0.36224,0.95449,0.96516,0.92182,0.95482,0.88326,0.96201,0.91913,0.94674,0.84121,0.4131,1.17954,0.2529,0.91325,0.004786,0.004786,0.004786
81,11756.3,0.50168,1.12336,0.36229,0.95184,0.96028,0.92303,0.95457,0.88296,0.95744,0.92008,0.94628,0.84185,0.41276,1.18796,0.25461,0.91267,0.00472,0.00472,0.00472
82,11895.6,0.49754,1.1045,0.3584,0.94887,0.95954,0.92474,0.95453,0.88271,0.95629,0.92097,0.94626,0.84169,0.41235,1.19585,0.25398,0.91285,0.004654,0.004654,0.004654
